,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSAMXG00000025307,44.46131814,1.677157989,0.529969023,3.164634003,0.001552781,0.030538682
ENSAMXG00000025634,59.81585387,1.743887005,0.293822449,5.935172797,2.93536178421152e-09,8.38659546856361e-07
ENSAMXG00000026039,10.2575801,6.962955792,2.307698709,3.017272473,0.002550604,0.042145317
ENSAMXG00000026085,13.38383193,3.294949057,0.877863562,3.753372621,0.000174471,0.006558949
ENSAMXG00000027642,25.35929856,1.333181416,0.35322464,3.774316014,0.000160447,0.006119584
ENSAMXG00000029174,23.42986703,1.930173399,0.468089299,4.123515329,3.73133615517592e-05,0.002079228
ENSAMXG00000029377,52.23200242,2.131029663,0.359768189,5.923340995,3.15465747246476e-09,8.82693228967212e-07
ENSAMXG00000029452,32.0966196,2.647598173,0.753967583,3.511554388,0.000445494,0.013060629
ENSAMXG00000029527,20.86534088,5.473579877,1.751199998,3.125616654,0.001774327,0.033592496
ENSAMXG00000029809,92.84019644,2.371713247,0.7411122,3.200208074,0.001373284,0.02809868
ENSAMXG00000029814,10.90187062,4.147067133,0.887874944,4.670778425,3.00060469938943e-06,0.00028635
ENSAMXG00000029825,36.00554298,1.557416421,0.405696841,3.838867508,0.000123603,0.005084553
ENSAMXG00000029941,32.89864826,1.998877545,0.594278854,3.363534696,0.000769512,0.018953144
ENSAMXG00000030080,92.44777481,1.301462655,0.289025997,4.502925934,6.70242472084955e-06,0.000534629
ENSAMXG00000030188,2079.528317,1.587149107,0.399142837,3.976393807,6.99682219615407e-05,0.003425173
ENSAMXG00000030303,75.10289306,1.180279169,0.284159806,4.153575367,3.27320337027821e-05,0.001870368
ENSAMXG00000030475,10.89229641,2.554882786,0.70262908,3.6361757,0.000276716,0.009207943
ENSAMXG00000031343,28.25317369,2.917921841,0.743579172,3.924157573,8.70337574079581e-05,0.004049196
ENSAMXG00000031551,13.33851735,2.7412074,0.662958716,4.1348086,3.55250586874898e-05,0.002000863
ENSAMXG00000031771,231.4096468,1.133128236,0.307453521,3.685526945,0.00022823,0.008041267
ENSAMXG00000031862,4.335587555,4.969729188,1.652684045,3.007065508,0.002637829,0.043069511
ENSAMXG00000032132,7.399800454,5.755933951,1.186129539,4.852702643,1.21790233845956e-06,0.000136701
ENSAMXG00000032346,33.76886299,1.133791527,0.33321813,3.402550535,0.0006676,0.017197816
ENSAMXG00000032571,313.5470986,1.33234666,0.295976153,4.501533805,6.74648320202854e-06,0.000535425
ENSAMXG00000032626,13.4451435,3.838497689,0.731204377,5.249555132,1.5246696481105e-07,2.3721444406345e-05
ENSAMXG00000032663,19.14048918,2.580352114,0.735602908,3.507805756,0.000451819,0.013196805
ENSAMXG00000032896,31.14704507,4.174080251,0.724717153,5.759599081,8.43139561959412e-09,1.94839633479856e-06
ENSAMXG00000033000,96.74676725,1.853714874,0.407093594,4.553534863,5.27519244555973e-06,0.000438595
ENSAMXG00000033470,25.93165908,1.819243998,0.351148273,5.180842784,2.20885607326443e-07,3.27452493729031e-05
ENSAMXG00000033486,11.78668339,1.739690511,0.583159277,2.983216727,0.002852359,0.045504543
ENSAMXG00000033547,75.77593798,9.124921098,2.090269225,4.36542862,1.26873728668154e-05,0.000891492
ENSAMXG00000033844,31.56424994,1.710886175,0.40983015,4.174622522,2.98480548658973e-05,0.001750121
