,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSAMXG00000016497,18.10468474,-1.670751395,0.510029066,-3.275796434,0.001053645,0.023798788
ENSAMXG00000016631,64.77220405,-1.516220516,0.332092888,-4.565651878,4.97944523297901e-06,0.000420683
ENSAMXG00000017050,10.0797215,-5.884071115,1.512336404,-3.890715781,9.99489501972842e-05,0.004465136
ENSAMXG00000017138,175.4483327,-2.473547552,0.303914239,-8.138965657,3.98669031005694e-16,4.47477510944533e-13
ENSAMXG00000017461,11.47696031,-3.60387282,1.155131034,-3.119882258,0.001809233,0.034015006
ENSAMXG00000017702,27.50944842,-1.458952551,0.427795994,-3.410393205,0.000648693,0.016876754
ENSAMXG00000017709,782.0892404,-1.287020671,0.122425024,-10.5127255,7.54800715106774e-26,1.48261730464848e-22
ENSAMXG00000017972,223.9777236,-1.110168415,0.210672744,-5.269634773,1.36695473035116e-07,2.16972996290285e-05
ENSAMXG00000018158,59.68489294,-4.37402573,0.429889853,-10.17475917,2.57035008458465e-24,4.4878312476848e-21
ENSAMXG00000019091,28.66835254,-2.285448036,0.40968042,-5.578611827,2.42445591653289e-08,4.94777925615556e-06
ENSAMXG00000019229,394.3063782,-1.10304435,0.26740248,-4.125034102,3.7067982860091e-05,0.002072905
ENSAMXG00000019838,19.64136066,-2.331568618,0.610146309,-3.821327088,0.000132735,0.00535734
ENSAMXG00000019854,99.68548342,-1.044838366,0.210943129,-4.953175627,7.30120209371021e-07,9.10564203972716e-05
ENSAMXG00000020509,648.197619,-1.004569195,0.266140223,-3.774586131,0.000160274,0.006119584
ENSAMXG00000020650,53.07799071,-1.160301247,0.34860673,-3.328396003,0.000873476,0.020859884
ENSAMXG00000020761,34.24043241,-1.688786788,0.493657928,-3.420965599,0.000623992,0.016420575
ENSAMXG00000020836,19.40372028,-6.112136198,1.346236183,-4.540166335,5.62098664819069e-06,0.000457659
ENSAMXG00000021545,1691.028919,-1.038255927,0.174193895,-5.960346245,2.51704035930198e-09,7.4627872086927e-07
ENSAMXG00000025566,23.87959209,-1.664071137,0.529455277,-3.142987161,0.001672332,0.032363327
ENSAMXG00000025608,200.1187738,-1.249196412,0.271322207,-4.60410677,4.14239916341266e-06,0.000365695
ENSAMXG00000025931,63.16609155,-1.038437203,0.340808092,-3.046985168,0.002311491,0.039956108
ENSAMXG00000029236,6.517684219,-3.102539959,0.873255094,-3.552844961,0.000381089,0.011605489
ENSAMXG00000029451,12.20015284,-6.910510124,2.333883593,-2.960948928,0.003066928,0.047763831
ENSAMXG00000029642,55.99201825,-1.076723269,0.301688891,-3.568985476,0.000358366,0.011129186
ENSAMXG00000029657,34.35059911,-1.323810264,0.384312209,-3.44462193,0.000571859,0.01545511
ENSAMXG00000029827,133.0895726,-1.032816954,0.232622388,-4.439886301,9.00064170621007e-06,0.000683266
ENSAMXG00000030103,4.435702758,-5.442243686,1.639228828,-3.320002425,0.000900167,0.021271006
ENSAMXG00000030211,26.83114526,-2.914217264,0.465427013,-6.261384027,3.8157554229118e-10,1.53745591578554e-07
ENSAMXG00000030367,7.129598742,-6.137535843,1.176032485,-5.2188489,1.80038563662843e-07,2.77365293078227e-05
ENSAMXG00000030472,27.29251404,-6.014864225,0.970091275,-6.200307515,5.63529429014305e-10,2.15982962134897e-07
ENSAMXG00000030498,497.641131,-3.53869876,0.13645059,-25.93392058,2.76116024052586e-148,4.33888720196234e-144
ENSAMXG00000030507,70.81678693,-3.038986655,0.781701202,-3.887657644,0.000101216,0.004492972
ENSAMXG00000030626,176.7259817,-3.365565715,0.884611762,-3.804568126,0.000142052,0.005608548
ENSAMXG00000030657,20.0503726,-1.554530257,0.491717511,-3.161429527,0.001569968,0.030838097
ENSAMXG00000030697,148.9466698,-1.030599981,0.205557888,-5.013672742,5.34007815114501e-07,6.93504033612336e-05
ENSAMXG00000030880,11.68332013,-1.786598852,0.604914434,-2.953473666,0.003142194,0.048694713
ENSAMXG00000031049,47.82442141,-1.116952031,0.323884125,-3.448616165,0.000563467,0.015345444
ENSAMXG00000031214,63.89393552,-1.243703093,0.343685876,-3.618720401,0.000296063,0.009652155
ENSAMXG00000031428,76.62696606,-2.551288496,0.355608341,-7.174433777,7.26070570044009e-13,5.70473646883578e-10
ENSAMXG00000031522,49.85376671,-2.049077703,0.588418593,-3.482346965,0.000497039,0.01414941
ENSAMXG00000031542,34.15110393,-1.368117837,0.369339525,-3.704228069,0.000212035,0.007521275
ENSAMXG00000031949,23.8315691,-2.048156512,0.672309313,-3.046449712,0.002315612,0.039956108
ENSAMXG00000032115,13.84075214,-5.643582486,1.237529561,-4.560361761,5.10655704969875e-06,0.000429115
ENSAMXG00000032537,132.3378186,-1.071997655,0.240939488,-4.44924019,8.61746029907223e-06,0.00066056
ENSAMXG00000032672,121.126464,-4.471410347,1.071062861,-4.174741287,2.9832488265845e-05,0.001750121
ENSAMXG00000032700,214.0448655,-1.405734162,0.321304415,-4.375085108,1.21385109112535e-05,0.00085921
ENSAMXG00000032775,50.83155889,-1.118450125,0.336666081,-3.32213486,0.000893315,0.021178777
ENSAMXG00000032783,52.08149377,-1.525400411,0.508292189,-3.001030596,0.002690675,0.043718271
ENSAMXG00000032973,37.10900573,-4.22064624,0.71446581,-5.907415278,3.47516945102322e-09,9.25573097514897e-07
ENSAMXG00000033099,17.51490907,-2.38354218,0.607539093,-3.923273759,8.73537950381042e-05,0.004049196
ENSAMXG00000033158,120.4638074,-1.20934263,0.261973053,-4.61628636,3.90667793889349e-06,0.000346877
ENSAMXG00000033477,14.56301106,-1.878477765,0.600077481,-3.130392033,0.001745732,0.033164911
ENSAMXG00000033601,11.17592651,-3.14753443,0.964132525,-3.264628409,0.001096078,0.024406407
ENSAMXG00000033917,4.931093206,-5.631657414,1.445246663,-3.896675606,9.75221032241594e-05,0.004403627
ENSAMXG00000034157,55.26000287,-2.404949253,0.284491127,-8.453512342,2.82668042707549e-17,3.41680432546648e-14
ENSAMXG00000034235,94.57275529,-1.146726105,0.237592675,-4.826437111,1.38997258197964e-06,0.000151681
ENSAMXG00000034265,25.2424218,-1.202077679,0.398476548,-3.01668363,0.002555564,0.042182909
ENSAMXG00000034274,13.39575047,-2.8245735,0.569556816,-4.959248,7.07665795326434e-07,8.89620824620767e-05
ENSAMXG00000035077,74.46526509,-1.088181475,0.260415972,-4.178628011,2.93272910891199e-05,0.001750121
ENSAMXG00000035834,35.27716528,-2.971151463,0.471973518,-6.295165612,3.07071834629168e-10,1.30414238090885e-07
ENSAMXG00000036048,19.35316459,-3.740708324,0.687059248,-5.44452074,5.19450516744027e-08,9.83451255435619e-06
ENSAMXG00000036364,102.5279655,-4.113126674,1.193190885,-3.447165685,0.000566501,0.015378464
ENSAMXG00000036530,123.991389,-1.034613525,0.23402254,-4.420999463,9.8245418058315e-06,0.000724802
ENSAMXG00000036697,166.9896029,-1.015347482,0.329208196,-3.084210825,0.002040929,0.036778853
ENSAMXG00000036789,902.580441,-1.01523228,0.276294219,-3.674460808,0.000238352,0.008286431
ENSAMXG00000036925,24.96205331,-1.250129756,0.383342636,-3.261128919,0.001109696,0.024491234
ENSAMXG00000037084,10.68022234,-6.713703117,1.148037746,-5.847981164,4.975748791446e-09,1.28178551653742e-06
ENSAMXG00000037727,29.3603802,-3.218155186,0.598808314,-5.374266037,7.68952552842147e-08,1.32574137007164e-05
ENSAMXG00000038047,181.2256415,-3.716116544,1.027564811,-3.616430326,0.000298694,0.009717748
ENSAMXG00000038137,19.30250372,-2.770822172,0.585367354,-4.733475749,2.20707344380049e-06,0.000225207
ENSAMXG00000038387,25.50435375,-4.083983713,0.703354696,-5.806435553,6.38168202456131e-09,1.56690236459307e-06
ENSAMXG00000038870,113.9663652,-1.464562489,0.325443226,-4.500208862,6.78867259061825e-06,0.000536066
ENSAMXG00000039429,63.20612492,-1.074263688,0.273741416,-3.924373974,8.6955565684003e-05,0.004049196
ENSAMXG00000039612,48.39391651,-2.522840277,0.376333638,-6.703733127,2.03161157200655e-11,1.14016943723253e-08
ENSAMXG00000039636,19.00153732,-1.62330895,0.549441492,-2.954470991,0.003132056,0.048594903
ENSAMXG00000039697,102.9426013,-1.255990751,0.280187186,-4.482684486,7.37098711385741e-06,0.000576257
ENSAMXG00000039893,14.52856248,-1.906165922,0.509019679,-3.744778442,0.000180553,0.006657115
ENSAMXG00000039968,14.44723062,-1.420697315,0.473593959,-2.999821448,0.002701379,0.043807504
ENSAMXG00000040215,58.11759007,-1.636887982,0.269027489,-6.084463677,1.168818955523e-09,3.82642105564343e-07
ENSAMXG00000040882,21.49103209,-2.761409422,0.521280527,-5.297357713,1.1749039136989e-07,1.90334434019221e-05
ENSAMXG00000040889,7.260437578,-2.52418159,0.783920262,-3.219946866,0.001282144,0.026875083
