"","Gene.stable.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name"
"1","ENSAMXG00000000555",1214.09006373069,-0.368479336477386,0.0979270524366554,-3.76279411366679,0.000168025524702407,0.0127225709794615,"grm1b"
"2","ENSAMXG00000000928",487.129710807282,-0.697280644944165,0.123310750291725,-5.6546622520304,1.56153026876157e-08,9.66451451122649e-06,"cbfa2t2"
"3","ENSAMXG00000001228",18.5122108220948,-2.30751830305264,0.706476333619758,-3.26623581462333,0.00108987449197736,0.0482603965085227,"pax6b"
"4","ENSAMXG00000001733",756.629243489151,-0.398188396961528,0.106788002767463,-3.72877464361427,0.000192413126678547,0.0142656294701516,"bcam"
"5","ENSAMXG00000001989",489.082736149972,-0.408547377101377,0.101331691491165,-4.03178286170225,5.5355319853228e-05,0.00601513723748626,"cacna2d4b"
"6","ENSAMXG00000002320",2292.90017388983,-0.476314212041305,0.081608569727508,-5.83657100757585,5.3286058983443e-09,4.21403916460728e-06,"ZIC2"
"7","ENSAMXG00000002323",1373.4447569592,-0.437097105774777,0.073950484664749,-5.91067263123881,3.40713568004648e-09,3.03128602534136e-06,"zic5"
"8","ENSAMXG00000002881",327.64605610046,-0.50590979594352,0.132382694339385,-3.82157047390603,0.000132604506828586,0.0106645488966379,"jph2"
"9","ENSAMXG00000003421",624.16774934584,-0.347151944771239,0.099530233487084,-3.48790445484375,0.000486822009727707,0.0279431907599754,"slc49a4"
"10","ENSAMXG00000004047",4609.2187015203,-0.396934890969065,0.100904644002881,-3.93376236437377,8.36264640393676e-05,0.00798941419866038,"aldoca"
"12","ENSAMXG00000005579",355.583403948575,-0.381082494791249,0.112214375279025,-3.3960220679719,0.000683728468445387,0.0361816905142011,"cxxc5a"
"13","ENSAMXG00000006018",25.3141564311334,-1.44226190990826,0.411628444504673,-3.50379554465383,0.000458677369362881,0.0266826177425116,"rab34b"
"14","ENSAMXG00000007431",1956.95683831975,-0.351218056869773,0.0723952945525806,-4.85139343710638,1.22597074665464e-06,0.000349033871572575,"mcama"
"15","ENSAMXG00000007466",1054.56810105682,-0.390675589065183,0.112762544797545,-3.46458648806308,0.000531047348733782,0.0295429542131542,"tmsb2"
"16","ENSAMXG00000007591",62.338612986467,-1.05771067857794,0.29865900018696,-3.54153291183531,0.000397809227065336,0.0242000613131413,"dnmt3ba"
"17","ENSAMXG00000007693",343.461100251581,-0.525125290384163,0.107889437926385,-4.86725392658422,1.13159595836062e-06,0.000335588926401322,"lrtm2a"
"18","ENSAMXG00000008850",30.3683935980334,-2.07471378070706,0.497775227314091,-4.1679731470404,3.0732012790104e-05,0.00401348809235899,"elf3"
"19","ENSAMXG00000009416",1019.98227779159,-0.26183945374574,0.0777997390430466,-3.36555696672536,0.000763892917449091,0.0380210338457616,"fsd1"
"20","ENSAMXG00000010088",229.862236613346,-0.672463052293399,0.143594973189028,-4.68305426965168,2.82631645252742e-06,0.000731502085485961,"gab2"
"21","ENSAMXG00000010585",154.142792640255,-1.23012160263245,0.323479846373913,-3.80277663793171,0.0001430833512462,0.0112166570663878,"si:dkey-283b1.7"
"22","ENSAMXG00000010595",376.335822481917,-0.519647844779751,0.157921551510642,-3.29054419620955,0.000999937925528422,0.0453315807958506,"irf1b"
"23","ENSAMXG00000010886",253.609419967382,-0.475122344437994,0.136165097065362,-3.48931080488215,0.000484267728224215,0.0279284916042932,"slc36a1"
"24","ENSAMXG00000010901",4064.77171278347,-0.565821075566507,0.0642147484251129,-8.81138818485549,1.23605534727972e-18,4.39881196713171e-15,"fat2"
"25","ENSAMXG00000010931",6335.19093182978,-0.585966544269202,0.111147284096248,-5.27198256829907,1.34957898740312e-07,6.19717964054304e-05,"zic1"
"26","ENSAMXG00000011717",526.959670108533,-0.792681595716771,0.137445790900789,-5.76723077892535,8.05846695383431e-09,5.46248938513483e-06,"prox1a"
"27","ENSAMXG00000012125",53.0591536737781,-1.34113385304893,0.34693194822668,-3.86569717751289,0.000110772312897177,0.00946995310088098,"top2a"
"28","ENSAMXG00000013008",595.628241190194,-0.638581447328512,0.138499808759125,-4.61070273706382,4.01310048360183e-06,0.000892601334126126,"pax6a"
"29","ENSAMXG00000013950",93.3734357627487,-0.900320873256977,0.253405423284019,-3.55288715446271,0.00038102787779584,0.0233997767040373,"smc4"
"30","ENSAMXG00000014452",3770.70840863015,-0.329792705842473,0.0717547343131783,-4.59611075142541,4.3044996274333e-06,0.000942685418407892,"arhgef16"
"31","ENSAMXG00000014478",8044.8032435041,-0.365739871254734,0.0707548825350598,-5.16911141889757,2.35209645174777e-07,8.81107710279723e-05,"ybx1"
"33","ENSAMXG00000015095",336.206805626032,-0.405717599450681,0.117218589039499,-3.46120528130539,0.000537762577402857,0.0296707375555413,"mpp3a"
"34","ENSAMXG00000015189",941.459974388948,-0.511398943498657,0.108300644565418,-4.72203046944702,2.3350168967668e-06,0.000615536398619915,"pkn1b"
