"","Gene.stable.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name"
"23","ENSAMXG00000001013",1344.00552122298,-0.543603655063903,0.122719430497951,-4.42964616815901,9.43878217891449e-06,0.000187157885403417,"srgap1a"
"24","ENSAMXG00000001026",1768.08433209582,-0.304879131576207,0.109716459471413,-2.77879119546001,0.00545615851408698,0.0349251481310042,"ube2q2"
"25","ENSAMXG00000001027",778.20111462896,-0.602584379604799,0.154655261989836,-3.89630699823456,9.76705719180028e-05,0.00138263615521055,"IQSEC1"
"26","ENSAMXG00000001169",99.5143225936074,-0.613339038803274,0.214900588754232,-2.85405936930546,0.00431644639462926,0.0293442201357302,"ndufaf5"
"27","ENSAMXG00000001212",45.7707844827994,-0.935533282487583,0.334456622883355,-2.79717373936966,0.00515518036180844,0.0334926996782868,"sytl4"
"28","ENSAMXG00000001295",47.9939937051114,-0.81501143431387,0.300830052641573,-2.70920882789899,0.00674438747290989,0.0412735549060542,"bcl3"
"29","ENSAMXG00000001367",255.710951005314,-0.668071621681162,0.166079316608671,-4.02260579657443,5.75577859738496e-05,0.000893279437958571,"cbl"
"30","ENSAMXG00000001387",701.473841079593,-0.264234083476722,0.0955115484471537,-2.76651449769891,0.00566590655261255,0.0358970134055054,"os9"
"31","ENSAMXG00000001460",31041.625222062,-0.399840445791674,0.0731490520637025,-5.46610563652238,4.60030249400082e-08,1.74988830695836e-06,"ckbb"
"32","ENSAMXG00000001473",1371.79872286334,-0.299240718066788,0.0838370056884064,-3.56931543069374,0.000357915274049029,0.0040403961791201,"dnm1l"
"34","ENSAMXG00000001631",638.057869552016,-0.840798007945965,0.115679087179825,-7.26836655132775,3.63860355164088e-13,3.74463647722550e-11,"sppl2"
"35","ENSAMXG00000001634",32.5412380867782,-2.22367604770139,0.547656365131562,-4.06034913365282,4.89993903138194e-05,0.000782823592870782,"pfkmb"
"36","ENSAMXG00000001648",139.721623205223,-1.05180364192001,0.242564055852379,-4.33618921082075,1.44974163114174e-05,0.000274176052563729,"arhgef18a"
"37","ENSAMXG00000001662",115.458030802556,-0.590101918873629,0.210517276425603,-2.80310447148585,0.00506132713808795,0.0330107942229492,"GPATCH2"
"39","ENSAMXG00000001708",284.184049730986,-0.456569563500771,0.156461267864549,-2.91809960210747,0.00352171838493467,0.0252465067979825,"prex2"
"40","ENSAMXG00000001713",168.166858920362,-0.572008775812941,0.189688811685099,-3.01551140908894,0.00256546287051787,0.0196240946889819,"tsfm"
"41","ENSAMXG00000001733",860.388236450714,-0.364846281175428,0.105013586344973,-3.47427693762308,0.000512232060861709,0.00538121213777585,"bcam"
