,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSAMXG00000036119,6.315260091,3.22641394,0.895429352,3.603203237,0.00031432,0.00350412
ENSAMXG00000036133,2.54837549,4.218929769,1.58587996,2.660308393,0.007806913,0.044079475
ENSAMXG00000036171,30.68645537,1.740504792,0.501467677,3.470821493,0.000518869,0.005247209
ENSAMXG00000036204,155.9182648,3.547981191,0.807572433,4.393390666,1.11596325242265e-05,0.00020405
ENSAMXG00000036234,38.81200772,1.348463746,0.301837031,4.467522561,7.91306682870928e-06,0.000151287
ENSAMXG00000036361,254.039583,1.003865581,0.166958113,6.012679228,1.82481900014724e-09,8.2693892366132e-08
ENSAMXG00000036381,30.39776588,1.472226283,0.368614451,3.993946195,6.49826156940047e-05,0.000934446
ENSAMXG00000036390,43.25568771,1.46305268,0.298748648,4.897269634,9.71774540240193e-07,2.48315987568015e-05
ENSAMXG00000036461,112.5522029,1.027861035,0.200707452,5.121190201,3.03613215359954e-07,8.91538140444893e-06
ENSAMXG00000036472,3.999719869,3.045768839,1.056424659,2.883091391,0.003937932,0.026295222
ENSAMXG00000036523,38.04885359,1.424317324,0.33753401,4.219774248,2.44547074355801e-05,0.000407592
ENSAMXG00000036524,102.7324407,4.619977208,0.321876693,14.35325177,1.01656756041404e-46,8.97094120287488e-44
ENSAMXG00000036584,10.73750641,1.917442545,0.64772279,2.960282662,0.003073569,0.021526538
ENSAMXG00000036813,32.07577629,1.446102838,0.3873846,3.732989999,0.00018922,0.002307384
ENSAMXG00000036883,30.51102846,3.49970166,0.426921038,8.197538535,2.45359168067359e-16,3.07165809804713e-14
ENSAMXG00000036891,34.72413046,4.530203336,1.095907496,4.133746099,3.56897744058335e-05,0.000560835
ENSAMXG00000037064,23.3647436,1.44911669,0.420982127,3.442228532,0.000576943,0.005707137
ENSAMXG00000037123,76.58887063,1.141713252,0.200655771,5.689909866,1.27106446699966e-08,4.81082120049284e-07
ENSAMXG00000037132,15.76771688,1.386019248,0.471082012,2.942203717,0.003258855,0.022523172
ENSAMXG00000037157,10.89498389,2.700583038,0.771756083,3.499270167,0.000466534,0.004852586
ENSAMXG00000037190,6.809034262,3.978672682,0.921016005,4.319873553,1.56118629587609e-05,0.000276706
ENSAMXG00000037253,4.338745503,5.750795848,1.532550052,3.752435909,0.000175125,0.002163828
ENSAMXG00000037272,41.30366169,1.093766778,0.354456735,3.085755381,0.002030358,0.015746073
ENSAMXG00000037353,138.3091683,1.6402729,0.262140209,6.257235042,3.9186261242306e-10,2.00928453287384e-08
ENSAMXG00000037442,42.93241097,3.586437537,0.513345851,6.986396264,2.82036763928268e-12,2.04575703480852e-10
ENSAMXG00000037516,3.018793684,3.318554485,1.264385744,2.624637696,0.008674121,0.04798383
ENSAMXG00000037673,19.44058521,1.427221867,0.449605155,3.174389464,0.001501521,0.012341175
ENSAMXG00000037717,30.33856945,1.086155174,0.362427453,2.996889898,0.002727492,0.019635835
ENSAMXG00000037727,146.0581378,2.174647706,0.319385927,6.808840104,9.8388756827178e-12,6.36943739660731e-10
ENSAMXG00000037750,13.95846272,3.110711803,0.947442847,3.28327119,0.001026099,0.009098151
ENSAMXG00000037813,64.35172273,1.441831938,0.267403475,5.391971587,6.96887889336974e-08,2.34632916476166e-06
ENSAMXG00000038047,1134.168602,2.544303414,0.191411573,13.29231754,2.56508468254748e-40,1.72035099489094e-37
ENSAMXG00000038132,36.04301521,1.043416238,0.317211171,3.289342666,0.001004217,0.008946708
ENSAMXG00000038185,53.31971859,2.914282684,0.416783391,6.992319617,2.70378035101145e-12,1.97105587588734e-10
ENSAMXG00000038266,9.424765049,3.191483139,0.67310989,4.741399859,2.12246560705297e-06,4.76404027221649e-05
ENSAMXG00000038317,17.5100784,1.734040076,0.487203607,3.559169206,0.00037203,0.004021808
ENSAMXG00000038380,26.70380163,1.8901555,0.389475049,4.853084954,1.21555587090461e-06,2.96238739643278e-05
ENSAMXG00000038506,339.6260179,3.522878324,0.227248641,15.50230758,3.34653673006172e-54,3.50696133455905e-51
ENSAMXG00000038747,32.07313117,2.466172523,0.395030122,6.242998662,4.29260574427816e-10,2.17444472852906e-08
ENSAMXG00000038796,16.95382529,2.903188477,0.877248502,3.309425403,0.000934877,0.0084842
ENSAMXG00000038812,2.321360848,4.074962702,1.414676942,2.880489942,0.003970576,0.026429
ENSAMXG00000038823,4.196800582,3.793134365,1.162378955,3.263251067,0.001101419,0.009610606
ENSAMXG00000038828,13.14779297,1.795391716,0.533300346,3.366567695,0.000761099,0.007181399
ENSAMXG00000038855,34.1151225,1.147611635,0.303385373,3.782686104,0.000155145,0.00195294
ENSAMXG00000038923,12.3055466,2.15742008,0.675395256,3.194307425,0.001401668,0.011663405
ENSAMXG00000038936,81.96840305,1.013535814,0.194156027,5.220212993,1.7871747072675e-07,5.49826758105582e-06
ENSAMXG00000038990,322.7252645,1.198315629,0.126410231,9.479577864,2.55313820523375e-21,5.03629038672402e-19
ENSAMXG00000039013,20.36114393,1.824090615,0.478003441,3.816061683,0.000135599,0.001736885
ENSAMXG00000039035,45.17039533,2.208914481,0.320022656,6.902369054,5.11423584518011e-12,3.45767711355383e-10
ENSAMXG00000039148,25.9519984,1.114187635,0.363990108,3.061038225,0.002205709,0.016762182
ENSAMXG00000039231,118.4642658,1.389065808,0.264445714,5.252744637,1.49849231892858e-07,4.73167998332871e-06
ENSAMXG00000039356,66.84621818,4.568326238,0.358161251,12.7549427,2.92589839290721e-37,1.69167373634053e-34
ENSAMXG00000039387,11.87579482,3.089231992,0.638811856,4.83590272,1.32542734273721e-06,3.1793190637589e-05
ENSAMXG00000039391,28.97660681,1.690958148,0.642172119,2.633185244,0.00845882,0.047055142
ENSAMXG00000039489,132.426004,1.816453956,0.636259468,2.854894972,0.004305106,0.028098067
ENSAMXG00000039498,7.101546265,2.170041905,0.660373075,3.286084769,0.001015904,0.00902207
ENSAMXG00000039501,7.037270347,2.490914233,0.885517838,2.812946421,0.004908983,0.031036545
ENSAMXG00000039561,22.82832933,3.347091893,0.557602771,6.002645734,1.94127883146565e-09,8.74984466859801e-08
ENSAMXG00000039569,16.8481992,2.866436256,0.794463261,3.608016123,0.000308547,0.003446644
ENSAMXG00000039714,13.14629017,2.674278942,0.617879094,4.328158967,1.503609308586e-05,0.000267349
ENSAMXG00000039824,22.01554646,1.236744902,0.375739801,3.291492942,0.000996571,0.008894895
ENSAMXG00000039829,19.94341528,2.409298147,0.438109543,5.499305341,3.81290372626077e-08,1.34308732727341e-06
ENSAMXG00000039993,31.05404063,5.099390275,0.799296774,6.379845938,1.77266221909296e-10,9.55698631110343e-09
ENSAMXG00000040092,18.21412607,1.320430012,0.428700319,3.080077045,0.002069471,0.015949735
ENSAMXG00000040098,24.10259612,1.593759979,0.444176049,3.588126782,0.000333062,0.003678825
ENSAMXG00000040150,40.89481033,1.003813525,0.384994987,2.607341804,0.009124822,0.049835797
ENSAMXG00000040322,21.16869143,2.393915283,0.46045059,5.199070946,2.00287074511198e-07,6.06175700059433e-06
ENSAMXG00000040370,37.82623472,3.802467634,0.499584409,7.611261611,2.71433177126977e-14,2.60064004622173e-12
ENSAMXG00000040375,51.49233792,1.062996406,0.305592576,3.478475887,0.000504274,0.005143041
ENSAMXG00000040576,710.3176275,1.89724869,0.694035138,2.733649332,0.006263671,0.03738803
