,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSAMXG00000043004,6.995896254,-2.801985543,1.072538657,-2.61247977,0.008988801,0.049221172
ENSAMXG00000043020,3.272992142,-4.955887605,1.399915448,-3.540133523,0.000399925,0.00427649
ENSAMXG00000043040,811.6435987,-1.126257214,0.162509921,-6.930390502,4.19680505966369e-12,2.89579549116795e-10
ENSAMXG00000043097,61.7428871,-1.147913482,0.348152438,-3.297157673,0.000976687,0.008771346
ENSAMXG00000043205,26.21731888,-2.706997656,0.506423253,-5.345326544,9.02541923727576e-08,2.99661790794857e-06
ENSAMXG00000043219,97.21014089,-5.612438886,0.437138478,-12.8390411,9.90942406866806e-38,5.9339754771199e-35
ENSAMXG00000043487,10.89552725,-6.71831553,2.289933681,-2.933847205,0.00334789,0.023043542
ENSAMXG00000043582,9.463025594,-1.679778814,0.598394057,-2.807144879,0.004998276,0.031470555
ENSAMXG00000043652,10.86538467,-3.579664294,0.794375206,-4.506263872,6.59790310223202e-06,0.000128636
ENSAMXG00000043752,18.44695195,-4.659983641,1.109073692,-4.20168982,2.64929969633723e-05,0.000435925
ENSAMXG00000043756,15.89807573,-1.887860061,0.582532281,-3.240781877,0.001192024,0.010275917
ENSAMXG00000043781,20.69153533,-3.638922757,0.574735537,-6.331473392,2.42831051526086e-10,1.29667141431143e-08
ENSAMXG00000043836,57.29236983,-2.194461638,0.256253042,-8.563651084,1.09348418579555e-17,1.49060563766129e-15
ENSAMXG00000043849,8.588493537,-3.21779508,0.944717204,-3.406093449,0.000658996,0.006387762
ENSAMXG00000043851,25.51254512,-1.13860555,0.348668218,-3.265584563,0.001092384,0.00955535
ENSAMXG00000043911,13.08367625,-5.52179344,1.123135445,-4.916409204,8.81460513343417e-07,2.2772647807749e-05
ENSAMXG00000043923,4.76767515,-4.788420831,1.270639082,-3.768513733,0.000164222,0.002048748
ENSAMXG00000044048,36.75190599,-1.908675455,0.359006811,-5.316543858,1.05756740327279e-07,3.47690836287741e-06
ENSAMXG00000044103,8.036838841,-6.292386452,1.214121246,-5.182667278,2.18735037799567e-07,6.5491613906881e-06
ENSAMXG00000044106,19.31581028,-1.182282432,0.425832418,-2.776403068,0.005496402,0.033671237
