"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSAMXG00000000035",103.472037367455,1.12034265381029,0.415657233129366,2.69535223861148,0.00703142563771074,0.0426127763990598
"ENSAMXG00000000517",8.87610575301805,2.07647495314041,0.694141908020429,2.99142715509305,0.00277676778194858,0.0208599550121753
"ENSAMXG00000000865",335.545428724531,1.01263938373972,0.141128855355758,7.17528234170858,7.21581128259408e-13,7.20507346818546e-11
"ENSAMXG00000000872",125.794987652188,1.18223557693907,0.205455197909713,5.75422568504983,8.70398136047135e-09,3.94619695464613e-07
"ENSAMXG00000000907",168.141985706256,1.76042291796312,0.28463644227879,6.18481211987204,6.21764770738114e-10,3.62156389900412e-08
"ENSAMXG00000001015",43.8981343357433,1.55746080319591,0.314945657427075,4.9451731321507,7.60762211217074e-07,2.07508716962055e-05
"ENSAMXG00000001021",102.883183678437,1.29394763691967,0.233172302689515,5.54931963185461,2.86783446895198e-08,1.13730314933025e-06
"ENSAMXG00000001046",417.084593705198,1.30446723959515,0.178441092637949,7.31035223059229,2.66443016285936e-13,2.81105760892867e-11
"ENSAMXG00000001486",18.5835218383322,1.62201222601989,0.474904552118568,3.4154488913278,0.000636769778983989,0.00639246741020731
"ENSAMXG00000001494",28.7900671502898,1.53059443299848,0.386843645158156,3.95662292028273,7.60167809489416e-05,0.00111956233574934
"ENSAMXG00000001906",94.7073610456349,1.22547353425291,0.291313938544759,4.20671094687295,2.59114215876781e-05,0.000458023284650474
"ENSAMXG00000002003",19.6205728374274,2.41670402324938,0.483304211074045,5.00037857704312,5.72178532745173e-07,1.63236307598644e-05
"ENSAMXG00000002024",23.4231299686313,3.80481830431667,0.537272412335871,7.08173026747208,1.42365561053554e-12,1.38045218882854e-10
"ENSAMXG00000002114",8.55659123559525,2.96041956382052,0.787720633519273,3.75821000218612,0.000171133227700593,0.00220442671531086
"ENSAMXG00000002138",16.3381435780278,3.35027374217184,0.84278001249231,3.97526482891336,7.0300982630605e-05,0.00105106861285954
"ENSAMXG00000002153",41.0534775323359,1.67539637472551,0.33606956772349,4.98526655083506,6.18764490971748e-07,1.74743675691096e-05
"ENSAMXG00000002229",21.6488790026052,2.42359813427126,0.483309590326141,5.01458730135233,5.31474173903722e-07,1.54247046145933e-05
"ENSAMXG00000002361",69.4873505758902,1.47235282034197,0.30806419157867,4.77937021111388,1.75845142889818e-06,4.35074081412491e-05
"ENSAMXG00000002907",180.293678378236,2.5769645000977,0.287109495039427,8.97554607082506,2.81949689897696e-19,6.01324346466494e-17
"ENSAMXG00000002974",69.9392776896987,1.20941824335603,0.320828574614397,3.76967121712778,0.000163462739544216,0.00213392019910835
"ENSAMXG00000003038",12.1407523757136,1.79839968458555,0.60135791394935,2.99056459201603,0.00278462230079098,0.020890894049986
"ENSAMXG00000003134",507.651443040465,1.24988437688324,0.432595617828202,2.88926730963698,0.00386140671662997,0.0269896240297782
"ENSAMXG00000003208",407.897596465759,1.28626433999377,0.145003627025104,8.8705666636262,7.27746218851098e-19,1.4708364844852e-16
"ENSAMXG00000003217",26.5247131003263,2.71728434409315,0.516659539786283,5.25933256785921,1.44579203076726e-07,4.91467401787414e-06
"ENSAMXG00000003247",269.475625886396,1.01307552549499,0.256610086102156,3.94791779576303,7.88338626049251e-05,0.00115496772506342
"ENSAMXG00000003540",45.5814214634517,1.09663479554224,0.325279878364215,3.37135761688381,0.000747986920955793,0.00726968748495564
"ENSAMXG00000003603",24.2847958432921,1.24782584421596,0.441831069670411,2.82421479581956,0.00473966095427407,0.0315132035306966
"ENSAMXG00000003751",46.9062513460402,1.74894760136241,0.447587149470481,3.90750182044213,9.32553391121673e-05,0.00133591657865637
"ENSAMXG00000003813",167.271436480526,1.2845901615704,0.328082966593459,3.91544302012543,9.0238355253926e-05,0.00129824048832299
"ENSAMXG00000003857",13.6466994907137,1.88124881843655,0.559917043126931,3.35987061213652,0.000779789834146114,0.00752645251311914
"ENSAMXG00000003869",121.825669203172,1.87105668300338,0.204979348309895,9.12802532757907,6.97600615578585e-20,1.64820427131419e-17
"ENSAMXG00000003936",17.2122270658252,1.34962607591121,0.459057082691874,2.93999619393108,0.00328216278503914,0.0238968232287463
"ENSAMXG00000003998",353.258768087871,1.70546370929719,0.215293027759272,7.92159284974218,2.34487056320178e-15,3.19798404046421e-13
"ENSAMXG00000004275",18.3855315225042,1.50726716450539,0.487364692000545,3.09268847178554,0.0019835223675701,0.0160123136265584
"ENSAMXG00000004394",23.4151566895665,2.18328438679939,0.472208354558374,4.62356153956927,3.77206764439111e-06,8.38098473306766e-05
"ENSAMXG00000004651",14.7740460802734,2.00686893800003,0.588933253255201,3.40763393289052,0.000655287408790081,0.00655482783688349
"ENSAMXG00000004793",54.3875395856665,1.32381819000762,0.263691375113497,5.02033177777554,5.1582307550072e-07,1.50224515477857e-05
"ENSAMXG00000005049",12.9503631612125,6.05882044561889,1.09675773417057,5.5243015452277,3.3079890322232e-08,1.28332149256573e-06
"ENSAMXG00000005217",74.4982218658111,1.06269960723571,0.259676017922784,4.09240566663229,4.26920939108835e-05,0.000699523053083855
"ENSAMXG00000005227",201.930396897012,11.4309159120813,1.64861543437792,6.9336460606379,4.10130032453263e-12,3.71888178075865e-10
"ENSAMXG00000005264",429.983662551364,1.06704951652561,0.125074229108444,8.53132994807782,1.44674759313261e-17,2.47644804844894e-15
"ENSAMXG00000005278",15.2824265757651,1.68667210436551,0.641972050015945,2.62732949872758,0.00860579573338082,0.0494052783803775
"ENSAMXG00000005291",8.24109247318388,6.81615594335778,1.22824209691,5.54952151575475,2.86452498394306e-08,1.13730314933025e-06
"ENSAMXG00000005395",38.3239886221077,1.22882077497139,0.326808721767285,3.76006114012592,0.000169871835247071,0.00219539426680933
"ENSAMXG00000005440",83.7745997551181,1.0833997423279,0.319138297722439,3.39476568641147,0.000686873584026548,0.00679443804984998
"ENSAMXG00000005517",84.3668304136785,1.30385434796216,0.416719589405492,3.12885302517765,0.00175490063368129,0.0145117255206151
"ENSAMXG00000005644",155.748806384636,1.45492052934824,0.177438997805401,8.1995533526619,2.41281818258525e-16,3.64639864980789e-14
"ENSAMXG00000005891",44.1814918328063,3.35021599867168,0.592710739365634,5.65236257108711,1.58257321299583e-08,6.72671543125092e-07
"ENSAMXG00000005995",11.8325609090423,2.03645300205519,0.715223351906178,2.84729657753447,0.00440922637067629,0.0298004723481446
"ENSAMXG00000006076",50.5708081006457,1.0452374246677,0.28241630063316,3.7010520367427,0.000214707435473726,0.00265222181890408
