"","Gene.stable.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name"
"1","ENSAMXG00000000730",101.358831956155,1.5040706252994,0.259981328437649,5.78530248436714,7.23819639371384e-09,1.72334875955787e-06,"coro2bb"
"2","ENSAMXG00000000836",20.9785578769913,1.41780120493465,0.449952755948218,3.15100015766504,0.00162712402409392,0.0316835525583791,""
"3","ENSAMXG00000000991",53.0598036699827,1.47884646609291,0.494172963790273,2.99256854270265,0.00276640538560163,0.0446317189212978,"tgm1l2"
"4","ENSAMXG00000002235",31.3138921018452,1.22761430209425,0.394680628095477,3.11039918026399,0.00186834664563835,0.0346020262828815,"slc26a6l"
"5","ENSAMXG00000003411",14.9865557655998,1.80922930528072,0.508439745883596,3.55839471624417,0.000373128299104014,0.0114213824232844,""
"6","ENSAMXG00000003998",304.930175693382,1.33118178350407,0.259622990621734,5.12736480046013,2.93825839447086e-07,4.12248146524241e-05,"proca1"
"7","ENSAMXG00000004300",17.3550542947553,5.33083552306014,0.877605801589927,6.07429384970161,1.24534503450791e-09,3.99374528005252e-07,""
"8","ENSAMXG00000004726",22.4669786889492,2.82908053366465,0.550572725251004,5.13843204342329,2.77040344565982e-07,3.96121635846645e-05,"cnga3b"
"9","ENSAMXG00000005049",30.7829378948473,7.19279832964691,1.71496208934497,4.19414421714372,2.73903685578852e-05,0.00166450129006095,"si:dkey-239i20.4"
"10","ENSAMXG00000005227",245.276988369046,11.5420735620141,2.93269233459786,3.935657834219,8.29691142125043e-05,0.00391524522743331,""
"11","ENSAMXG00000005380",18.0543080361473,2.24938848983006,0.738750671982186,3.04485474618194,0.00232792710615174,0.0400668636868219,"si:dkey-222f8.3"
"12","ENSAMXG00000005619",177.201591760519,3.81918437243535,0.285636416511144,13.3707894080317,8.9585012706902e-41,4.69246296558753e-37,"mblac1"
"13","ENSAMXG00000005644",135.823913577538,1.11219765273144,0.167111777641747,6.65541153607835,2.8250843845389e-11,1.4320443876982e-08,"hps4"
"14","ENSAMXG00000005899",51.6255200854566,1.21914166700704,0.326340903368701,3.73579178834855,0.000187125455836695,0.00683834747213446,"itih5"
"15","ENSAMXG00000006084",23.2776944607834,1.48222306542986,0.463768333621882,3.19604198469994,0.00139326836375348,0.0283966524877071,"lss"
"16","ENSAMXG00000006157",11.5808492064735,2.18824283233805,0.598483692826255,3.65631153959162,0.000255870365865809,0.00871188098714853,"si:dkey-31g6.6"
"17","ENSAMXG00000007306",585.602440234092,1.20990508913825,0.264730457837616,4.57032824640221,4.86960878453307e-06,0.000415875176305177,"prpf3"
"18","ENSAMXG00000007472",51.1165190019173,1.10999091379315,0.299302415031419,3.70859324231191,0.000208413914140549,0.0074432187427377,"gfpt2"
"19","ENSAMXG00000007555",199.390944535562,1.08482594002947,0.19428211624389,5.58376633424996,2.35364886897678e-08,4.86647872725014e-06,"slc43a3b"
"20","ENSAMXG00000007909",7.42539143970798,2.79245588794964,0.921972862618982,3.02878316832158,0.00245540845703327,0.0410846956222366,"krt1-19d"
"21","ENSAMXG00000008075",172.606412830965,1.03935348584093,0.178962037186455,5.8076757628662,6.33460384853299e-09,1.56687736150856e-06,"cnot7"
"22","ENSAMXG00000008608",277.327239461889,1.37242938195322,0.326710153643267,4.2007552157432,2.66026096221956e-05,0.00163934669648307,""
"23","ENSAMXG00000008725",3.38220481273162,4.60765535825281,1.34444348012343,3.42718412962202,0.000609875377076512,0.016243358771831,""
"24","ENSAMXG00000008970",21.3919699210376,3.39583639360316,0.826747620502289,4.10746436928361,4.00026463795985e-05,0.00222120701487283,""
"25","ENSAMXG00000009106",15.3199497921303,4.76051000653565,0.809315101768959,5.88214651639438,4.0497958908651e-09,1.06064154381757e-06,""
"26","ENSAMXG00000009429",25.109389225905,2.99214494441773,0.487356635928172,6.13953873577444,8.27614419432641e-10,2.76704957169458e-07,""
"27","ENSAMXG00000010920",25.1689665095863,1.69816931533377,0.440595174306858,3.85426217616958,0.000116079155500975,0.00491579383549981,"cpb1"
"28","ENSAMXG00000010934",21.3274950316439,1.89450368856277,0.579613503901613,3.2685637512068,0.00108094822987932,0.0241966103765294,"SH3TC1"
